查询次数,EvoStar,ACMC,ADPE,COBRA,COBRAS,A3S,FFQS,SSSE,SPACE
0,0.0,0.0,0.0,0.5757702175075021,0.0,0.5,0.6045407107776172,0.693494322,0.595377479385278
1,0.3493493010893472,0.01865396842124069,0.0187434701,0.5786290957880438,0.0,0.5017,0.6055761367109106,0.693494322,0.595377479385278
2,0.4272951259744262,0.03730793684248138,0.0374869402,0.5812076288181774,0.0,0.5042,0.6066115626442039,0.693494322,0.595377479385278
3,0.5052409508595053,0.05596190526372208,0.0562304103,0.5837178097687314,0.0,0.5042,0.6076469885774973,0.693494322,0.595377479385278
4,0.5212371171588005,0.07461587368496277,0.0749738804,0.585847235014669,0.630685026,0.5042,0.6086824145107906,0.693494322,0.595377479385278
5,0.5372332834580958,0.09326984210620345,0.09371735049999999,0.588152775363779,0.630685026,0.5056,0.6097178404440841,0.693494322,0.595377479385278
6,0.5532294497573911,0.11192381052744416,0.1124608206,0.5945184852854605,0.630685026,0.5071,0.6087887116248638,0.693494322,0.595377479385278
7,0.5601226784424244,0.13057777894868483,0.1312042907,0.5983057860076816,0.630685026,0.5071,0.6078595828056436,0.693494322,0.595377479385278
8,0.5670159071274576,0.14923174736992553,0.1499477608,0.5983057860076816,0.630685026,0.5085,0.6069304539864234,0.693494322,0.595377479385278
9,0.5914495132199172,0.16788571579116623,0.1686912309,0.6005168928372989,0.630685026,0.5099,0.6060013251672032,0.693494322,0.595377479385278
10,0.6158831193123768,0.1865396842124069,0.187434701,0.6043363375733508,0.630685026,0.5117,0.6050721963479829,0.693494322,0.595377479385278
11,0.6403167254048364,0.2051936526336476,0.189481841,0.6086884129959903,0.630685026,0.5134,0.6102825926578845,0.693494322,0.595377479385278
12,0.664750331497296,0.2238476210548883,0.186928578,0.6141402549268848,0.630685026,0.5153,0.6154929889677861,0.693494322,0.595377479385278
13,0.6622245332764765,0.242501589476129,0.188914732,0.6182755055701786,0.630685026,0.5169,0.6207033852776876,0.693494322,0.595377479385278
14,0.6596987350556569,0.26115555789736966,0.189927783,0.6182755055701786,0.630685026,0.5169,0.6259137815875893,0.693494322,0.595377479385278
15,0.6571729368348372,0.2798095263186104,0.190815076,0.6182755055701786,0.630685026,0.5187,0.6311241778974909,0.693494322,0.595377479385278
16,0.6546471386140177,0.29846349473985107,0.190883219,0.6194578246231122,0.630685026,0.5198,0.6287683464008538,0.693494322,0.595377479385278
17,0.6521213403931981,0.31711746316109174,0.190443969,0.6194578246231122,0.630685026,0.5217,0.6264125149042167,0.693494322,0.595377479385278
18,0.6536575244941356,0.33577143158233247,0.1902650245,0.6258181263360484,0.630685026,0.5235,0.6240566834075796,0.693494322,0.595377479385278
19,0.6551937085950731,0.35442540000357314,0.19008608,0.6279616258463391,0.630685026,0.5249,0.6217008519109425,0.693494322,0.595377479385278
